,PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,TOP_USPS,PRICE,PROP_HEADING,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,LOCALITY_WO_CITY,FEATURES_LIST
2118,S,Residential Apartment,4.0,4,4.0,Unfurnished,East,,4,4.0,2000 sq.ft.,"['East Facing', 'Top Floor', 'Fitness Center/ Gym', 'Club/ Community Center']",1.7 Cr,4 BHK Flat in Sector 91 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}]",DLF Gardencity,DLF Gardencity,Sector 91,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
2119,S,Residential Apartment,2.0,3,2.0,Furnished,East,,0,18.0,1450 sq.ft.,"['East Facing', 'Ground Floor', 'Gated Society', 'Corner Property']",1.55 Cr,2 BHK Flat in Sector 66 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'Park', 'text': '1 Park', 'className': 'prk', 'icon': 'https://static.99acres.com/universalapp/img/prk.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}]",BPTP Park Prime,BPTP Park Prime,Sector 66,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2120,S,Independent/Builder Floor,3.0,3,2.0,Semi-furnished,West,,2,4.0,1350 sq.ft.,"['Gated Society', 'MG ROAD metro station within 250m', 'Ambience mall within 1km', 'Fresh Construction']",2.65 Cr,3 BHK Independent Builder Floor in DLF Phase 2,"[{'category': 'MetroStation', 'text': '5 Metro Stations', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'ReligiousPlace', 'text': '3 Religious Places', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'ATM', 'text': '6 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '9 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Pharmacy', 'text': '4 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}]",nul,nul,DLF Phase 2,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Rain Water Harvesting']"
2121,S,Independent/Builder Floor,4.0,4,2.0,Semi-furnished,North,,4,4.0,2090 sq.ft.,"['North Facing', 'Top Floor', 'Private Garden', 'Park hospital within 1km']",3.25 Cr,4 BHK Independent Builder Floor in Uppals Southend,"[{'category': 'ReligiousPlace', 'text': '1 Religious Place', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'ATM', 'text': '2 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '19 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'Pharmacy', 'text': '3 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Uppal Southend,Uppal Southend,Uppals Southend,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Rain Water Harvesting']"
2122,S,Independent/Builder Floor,4.0,4,2.0,Semi-furnished,West,,1,4.0,2430 sq.ft.,"['Gated Society', 'Overlooking Main Road', 'Marble Flooring', 'park hospital  within 500m']",3.95 Cr,4 BHK Independent Builder Floor in Sector 50 Gurgaon,"[{'category': 'ATM', 'text': '2 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '17 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'Pharmacy', 'text': '3 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Parking', 'text': '1 Parking', 'className': 'prkng', 'icon': 'https://static.99acres.com/universalapp/img/prkng.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Unitech South City 2,Unitech South City 2,Sector 50,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2123,S,Independent/Builder Floor,3.0,3,2.0,Semi-furnished,South,,4,4.0,1290 sq.ft.,"['Gated Society', 'Park hospital within 250m', 'Top Floor', 'Fresh Construction']",2.3 Cr,3 BHK Independent Builder Floor in Malibu Town,"[{'category': 'ATM', 'text': '2 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '18 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'Pharmacy', 'text': '3 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}, {'category': 'SwimmingPool', 'text': '1 Swimming Pool', 'className': 'swmng', 'icon': 'https://static.99acres.com/universalapp/img/swmng.png'}]",Malibu Towne,Malibu Towne,Malibu Town,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2124,S,Independent/Builder Floor,4.0,4,2.0,Semi-furnished,South-West,,1,4.0,1820 sq.ft.,"['Gated Society', 'Fresh Construction', 'Airia Mall and Worldmark Mall Nearby', 'Asia Marego Hospital within 1.5km']",2.05 Cr,4 BHK Independent Builder Floor in Sector 67A Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '2 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Ansal API Versalia,Ansal API Versalia,Sector 67A,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
2125,S,Residential Apartment,4.0,4,4.0,Semi-furnished,North-East,,7,18.0,2913 sq.ft.,"['North-East Facing', 'Private Garden', 'Gated Society', 'Corner Property']",6.1 Cr,4 BHK Flat in Sector 108 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Sobha City,Sobha City,Sector 108,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
2126,S,Independent/Builder Floor,4.0,4,2.0,Semi-furnished,North,,4,4.0,2600 sq.ft.,"['North Facing', 'Top Floor', 'Private Garden', 'Gated Society']",3.25 Cr,4 BHK Independent Builder Floor in Uppals Southend,"[{'category': 'ReligiousPlace', 'text': '1 Religious Place', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'ATM', 'text': '2 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '19 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'Pharmacy', 'text': '3 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Uppal Southend,Uppal Southend,Uppals Southend,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
2127,S,Independent/Builder Floor,4.0,5,2.0,Semi-furnished,North,,3,4.0,1900 sq.ft.,"['Gated Society', 'Fresh Construction', 'Park Hospital within 500m', 'Club/ Community Center']",3.6 Cr,4 BHK Independent Builder Floor in Malibu Town,"[{'category': 'ATM', 'text': '2 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '17 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Attraction', 'text': '1 Attraction', 'className': 'cultrl', 'icon': 'https://static.99acres.com/universalapp/img/cultrl.png'}, {'category': 'Pharmacy', 'text': '3 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}, {'category': 'SwimmingPool', 'text': '1 Swimming Pool', 'className': 'swmng', 'icon': 'https://static.99acres.com/universalapp/img/swmng.png'}]",,,Malibu Town,"['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'Lift(s)', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2128,S,Independent/Builder Floor,3.0,3,2.0,Semi-furnished,North-West,,2,4.0,1300 sq.ft.,"['Sikandarpur Metro Station Nearby', 'Fresh Construction', 'Umarsanjeevni Hospital Nearby', 'Central Arcade Market Nearby']",2.45 Cr,3 BHK Independent Builder Floor in DLF Phase 2,"[{'category': 'MetroStation', 'text': '5 Metro Stations', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'ReligiousPlace', 'text': '3 Religious Places', 'className': 'rlgs', 'icon': 'https://static.99acres.com/universalapp/img/rlgs.png'}, {'category': 'ATM', 'text': '6 ATMs', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '9 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Pharmacy', 'text': '4 Pharmacys', 'className': 'phmcy', 'icon': 'https://static.99acres.com/universalapp/img/phmcy.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}]",,,DLF Phase 2,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']"
2129,S,Residential Apartment,4.0,4,4.0,Semi-furnished,North-East,,8,18.0,2448 sq.ft.,"['North-East Facing', 'Gated Society', 'Corner Property', 'Overlooking Park/Garden']",4.45 Cr,4 BHK Flat in Sector 108 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Sobha City,Sobha City,Sector 108,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2130,S,Residential Apartment,3.0,3,3.0,Semi-furnished,North,,15,35.0,1689 sq.ft.,"['North Facing', 'DELHI PUBLIC SCHOOL Nearby', 'Gated Society', 'Corner Property']",1.71 Cr,3 BHK Flat in Sector 104 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Hero Homes,Hero Homes,Sector 104,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2131,S,Residential Apartment,3.0,4,2.0,Unfurnished,North-East,,7,18.0,2003 sq.ft.,"['North-East Facing', 'EURO INTERNATIONAL SCHOOL Nearby', 'Fresh Construction', 'Gated Society']",3.15 Cr,3 BHK Flat in Sector 108 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Sobha City,Sobha City,Sector 108,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
2132,S,Residential Apartment,3.0,3,2.0,Unfurnished,North-East,,15,18.0,1711 sq.ft.,"['North-East Facing', 'EURO INTERNATIONAL SCHOOL Nearby', 'Fresh Construction', 'Gated Society']",2.9 Cr,3 BHK Flat in Sector 108 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Sobha City,Sobha City,Sector 108,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
2133,S,Residential Apartment,2.0,2,2.0,Unfurnished,North-East,,10,18.0,1381 sq.ft.,"['North-East Facing', 'EURO INTERNATIONAL SCHOOL Nearby', 'Fresh Construction', 'Gated Society']",2.1 Cr,2 BHK Flat in Sector 108 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Sobha City,Sobha City,Sector 108,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
